player 4 initial hand8 5 6 5
player 4 draws a 9 from deck 4
player 4 discards a 6 to deck 1
player 4 current hand is8 5 5 9
player 4 draws a 7 from deck 4
player 4 discards a 5 to deck 1
player 4 current hand is8 5 9 7
player 4 draws a 9 from deck 4
player 4 discards a 9 to deck 1
player 4 current hand is8 5 7 9
player 4 draws a 5 from deck 4
player 4 discards a 8 to deck 1
player 4 current hand is5 7 9 5
player 4 draws a 7 from deck 4
player 4 discards a 5 to deck 1
player 4 current hand is7 9 5 7
player 4 draws a 1 from deck 4
player 4 discards a 7 to deck 1
player 4 current hand is9 5 7 1
player 4 draws a 2 from deck 4
player 4 discards a 9 to deck 1
player 4 current hand is5 7 1 2
player 4 draws a 4 from deck 4
player 4 discards a 2 to deck 1
player 4 current hand is5 7 1 4
player 4 draws a 2 from deck 4
player 4 discards a 1 to deck 1
player 4 current hand is5 7 4 2
player 4 draws a 4 from deck 4
player 4 discards a 5 to deck 1
player 4 current hand is7 4 2 4
player 4 draws a 6 from deck 4
player 4 discards a 7 to deck 1
player 4 current hand is4 2 4 6
player 4 draws a 4 from deck 4
player 4 discards a 2 to deck 1
player 4 current hand is4 4 6 4
player 4 draws a 8 from deck 4
player 4 discards a 6 to deck 1
player 4 current hand is4 4 4 8
player 4 draws a 8 from deck 4
player 4 discards a 8 to deck 1
player 4 current hand is4 4 4 8
player 4 draws a 8 from deck 4
player 4 discards a 8 to deck 1
player 4 current hand is4 4 4 8
player 4 draws a 9 from deck 4
player 4 discards a 8 to deck 1
player 4 current hand is4 4 4 9
player 4 draws a 6 from deck 4
player 4 discards a 9 to deck 1
player 4 current hand is4 4 4 6
player 3 has informed player 4 that player 3 has won
player 4 exits
player 4 final hand:4 4 4 6
